name,ingredients,steps,cost,dietary,prep_time
Kidney Beans & Barley Fusion Bowl 155,"barley, kidney beans, onions, mushrooms, chili powder, maple syrup","1. Cook the barley until tender. 2. Sauté the kidney beans with chili powder. 3. Add chopped onions and mushrooms, cook until soft. 4. Stir in maple syrup, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",203.15,gluten-free,24
Beef & Quinoa Fusion Bowl 156,"quinoa, beef, kale, spinach, chili powder, nuts","1. Cook the quinoa until tender. 2. Sauté the beef with chili powder. 3. Add chopped kale and spinach, cook until soft. 4. Stir in nuts, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",190.4,high-protein,20
Lentils & Bulgur Fusion Bowl 157,"bulgur, lentils, kale, carrots, ginger, lemon","1. Cook the bulgur until tender. 2. Sauté the lentils with ginger. 3. Add chopped kale and carrots, cook until soft. 4. Stir in lemon, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",318.75,gluten-free,19
Chickpeas & Quinoa Fusion Bowl 158,"quinoa, chickpeas, broccoli, kale, cumin, yogurt","1. Cook the quinoa until tender. 2. Sauté the chickpeas with cumin. 3. Add chopped broccoli and kale, cook until soft. 4. Stir in yogurt, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",215.9,pescatarian,18
Kidney Beans & Barley Fusion Bowl 159,"barley, kidney beans, zucchini, spinach, turmeric, honey","1. Cook the barley until tender. 2. Sauté the kidney beans with turmeric. 3. Add chopped zucchini and spinach, cook until soft. 4. Stir in honey, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",343.4,vegetarian,16
Eggs & Quinoa Fusion Bowl 160,"quinoa, eggs, broccoli, kale, soy sauce, avocado","1. Cook the quinoa until tender. 2. Sauté the eggs with soy sauce. 3. Add chopped broccoli and kale, cook until soft. 4. Stir in avocado, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",288.15,pescatarian,14
Tuna & Bulgur Fusion Bowl 161,"bulgur, tuna, spinach, mushrooms, cumin, nuts","1. Cook the bulgur until tender. 2. Sauté the tuna with cumin. 3. Add chopped spinach and mushrooms, cook until soft. 4. Stir in nuts, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",348.5,dairy-free,23
Chicken & Barley Fusion Bowl 162,"barley, chicken, zucchini, tomatoes, curry powder, peanut butter","1. Cook the barley until tender. 2. Sauté the chicken with curry powder. 3. Add chopped zucchini and tomatoes, cook until soft. 4. Stir in peanut butter, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",207.4,non-vegetarian,17
Chicken & Millet Fusion Bowl 163,"millet, chicken, carrots, spinach, mustard, avocado","1. Cook the millet until tender. 2. Sauté the chicken with mustard. 3. Add chopped carrots and spinach, cook until soft. 4. Stir in avocado, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",228.65,high-protein,12
Lentils & Oats Fusion Bowl 164,"oats, lentils, onions, spinach, garlic, nuts","1. Cook the oats until tender. 2. Sauté the lentils with garlic. 3. Add chopped onions and spinach, cook until soft. 4. Stir in nuts, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",182.75,vegan,28
Tuna & Couscous Fusion Bowl 165,"couscous, tuna, mushrooms, carrots, garlic, lime","1. Cook the couscous until tender. 2. Sauté the tuna with garlic. 3. Add chopped mushrooms and carrots, cook until soft. 4. Stir in lime, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",185.3,high-protein,18
Eggs & Bulgur Fusion Bowl 166,"bulgur, eggs, tomatoes, broccoli, cumin, peanut butter","1. Cook the bulgur until tender. 2. Sauté the eggs with cumin. 3. Add chopped tomatoes and broccoli, cook until soft. 4. Stir in peanut butter, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",360.4,high-protein,28
Tuna & Oats Fusion Bowl 167,"oats, tuna, onions, zucchini, curry powder, maple syrup","1. Cook the oats until tender. 2. Sauté the tuna with curry powder. 3. Add chopped onions and zucchini, cook until soft. 4. Stir in maple syrup, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",376.55,high-protein,19
Beef & Bulgur Fusion Bowl 168,"bulgur, beef, carrots, kale, turmeric, seeds","1. Cook the bulgur until tender. 2. Sauté the beef with turmeric. 3. Add chopped carrots and kale, cook until soft. 4. Stir in seeds, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",289.85,high-protein,16
Chicken & Millet Fusion Bowl 169,"millet, chicken, cauliflower, zucchini, turmeric, maple syrup","1. Cook the millet until tender. 2. Sauté the chicken with turmeric. 3. Add chopped cauliflower and zucchini, cook until soft. 4. Stir in maple syrup, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",391.85,vegetarian,23
Tempeh & Bulgur Fusion Bowl 170,"bulgur, tempeh, mushrooms, kale, chili powder, peanut butter","1. Cook the bulgur until tender. 2. Sauté the tempeh with chili powder. 3. Add chopped mushrooms and kale, cook until soft. 4. Stir in peanut butter, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",404.6,non-vegetarian,22
Lentils & Rice Fusion Bowl 171,"rice, lentils, cauliflower, zucchini, garlic, lime","1. Cook the rice until tender. 2. Sauté the lentils with garlic. 3. Add chopped cauliflower and zucchini, cook until soft. 4. Stir in lime, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",363.8,vegan,24
Kidney Beans & Bulgur Fusion Bowl 172,"bulgur, kidney beans, cauliflower, carrots, chili powder, honey","1. Cook the bulgur until tender. 2. Sauté the kidney beans with chili powder. 3. Add chopped cauliflower and carrots, cook until soft. 4. Stir in honey, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",203.15,dairy-free,19
Lentils & Couscous Fusion Bowl 173,"couscous, lentils, tomatoes, spinach, vinegar, seeds","1. Cook the couscous until tender. 2. Sauté the lentils with vinegar. 3. Add chopped tomatoes and spinach, cook until soft. 4. Stir in seeds, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",297.5,pescatarian,15
Kidney Beans & Barley Fusion Bowl 174,"barley, kidney beans, zucchini, broccoli, mustard, honey","1. Cook the barley until tender. 2. Sauté the kidney beans with mustard. 3. Add chopped zucchini and broccoli, cook until soft. 4. Stir in honey, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",307.7,gluten-free,14
Kidney Beans & Millet Fusion Bowl 175,"millet, kidney beans, carrots, zucchini, ginger, seeds","1. Cook the millet until tender. 2. Sauté the kidney beans with ginger. 3. Add chopped carrots and zucchini, cook until soft. 4. Stir in seeds, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",208.25,vegan,25
Kidney Beans & Rice Fusion Bowl 176,"rice, kidney beans, zucchini, spinach, soy sauce, yogurt","1. Cook the rice until tender. 2. Sauté the kidney beans with soy sauce. 3. Add chopped zucchini and spinach, cook until soft. 4. Stir in yogurt, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",406.3,pescatarian,27
Beef & Millet Fusion Bowl 177,"millet, beef, broccoli, carrots, ginger, peanut butter","1. Cook the millet until tender. 2. Sauté the beef with ginger. 3. Add chopped broccoli and carrots, cook until soft. 4. Stir in peanut butter, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",223.55,non-vegetarian,22
Eggs & Bulgur Fusion Bowl 178,"bulgur, eggs, cauliflower, tomatoes, cumin, nuts","1. Cook the bulgur until tender. 2. Sauté the eggs with cumin. 3. Add chopped cauliflower and tomatoes, cook until soft. 4. Stir in nuts, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",184.45,gluten-free,28
Chicken & Barley Fusion Bowl 179,"barley, chicken, cauliflower, onions, chili powder, honey","1. Cook the barley until tender. 2. Sauté the chicken with chili powder. 3. Add chopped cauliflower and onions, cook until soft. 4. Stir in honey, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",414.8,vegetarian,29
Kidney Beans & Couscous Fusion Bowl 180,"couscous, kidney beans, zucchini, onions, vinegar, honey","1. Cook the couscous until tender. 2. Sauté the kidney beans with vinegar. 3. Add chopped zucchini and onions, cook until soft. 4. Stir in honey, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",416.5,low-carb,13
Eggs & Millet Fusion Bowl 181,"millet, eggs, kale, onions, mustard, honey","1. Cook the millet until tender. 2. Sauté the eggs with mustard. 3. Add chopped kale and onions, cook until soft. 4. Stir in honey, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",422.45,vegan,25
Beef & Couscous Fusion Bowl 182,"couscous, beef, spinach, broccoli, soy sauce, maple syrup","1. Cook the couscous until tender. 2. Sauté the beef with soy sauce. 3. Add chopped spinach and broccoli, cook until soft. 4. Stir in maple syrup, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",373.15,low-carb,22
Beef & Couscous Fusion Bowl 183,"couscous, beef, kale, spinach, turmeric, peanut butter","1. Cook the couscous until tender. 2. Sauté the beef with turmeric. 3. Add chopped kale and spinach, cook until soft. 4. Stir in peanut butter, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",231.2,vegan,17
Beef & Barley Fusion Bowl 184,"barley, beef, kale, zucchini, turmeric, seeds","1. Cook the barley until tender. 2. Sauté the beef with turmeric. 3. Add chopped kale and zucchini, cook until soft. 4. Stir in seeds, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",301.75,vegetarian,19
Seitan & Rice Fusion Bowl 185,"rice, seitan, cauliflower, carrots, turmeric, lime","1. Cook the rice until tender. 2. Sauté the seitan with turmeric. 3. Add chopped cauliflower and carrots, cook until soft. 4. Stir in lime, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",179.35,low-carb,23
Chicken & Rice Fusion Bowl 186,"rice, chicken, mushrooms, broccoli, mustard, avocado","1. Cook the rice until tender. 2. Sauté the chicken with mustard. 3. Add chopped mushrooms and broccoli, cook until soft. 4. Stir in avocado, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",204.85,high-protein,20
Kidney Beans & Rice Fusion Bowl 187,"rice, kidney beans, zucchini, kale, mustard, peanut butter","1. Cook the rice until tender. 2. Sauté the kidney beans with mustard. 3. Add chopped zucchini and kale, cook until soft. 4. Stir in peanut butter, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",185.3,dairy-free,22
Tuna & Couscous Fusion Bowl 188,"couscous, tuna, kale, tomatoes, curry powder, nuts","1. Cook the couscous until tender. 2. Sauté the tuna with curry powder. 3. Add chopped kale and tomatoes, cook until soft. 4. Stir in nuts, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",393.55,high-protein,25
Eggs & Millet Fusion Bowl 189,"millet, eggs, tomatoes, onions, mustard, cheese","1. Cook the millet until tender. 2. Sauté the eggs with mustard. 3. Add chopped tomatoes and onions, cook until soft. 4. Stir in cheese, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",314.5,dairy-free,22
Kidney Beans & Millet Fusion Bowl 190,"millet, kidney beans, mushrooms, cauliflower, turmeric, avocado","1. Cook the millet until tender. 2. Sauté the kidney beans with turmeric. 3. Add chopped mushrooms and cauliflower, cook until soft. 4. Stir in avocado, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",406.3,gluten-free,30
Chickpeas & Bulgur Fusion Bowl 191,"bulgur, chickpeas, broccoli, zucchini, cumin, seeds","1. Cook the bulgur until tender. 2. Sauté the chickpeas with cumin. 3. Add chopped broccoli and zucchini, cook until soft. 4. Stir in seeds, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",319.6,gluten-free,18
Eggs & Barley Fusion Bowl 192,"barley, eggs, cauliflower, carrots, turmeric, honey","1. Cook the barley until tender. 2. Sauté the eggs with turmeric. 3. Add chopped cauliflower and carrots, cook until soft. 4. Stir in honey, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",204.85,dairy-free,26
Chickpeas & Oats Fusion Bowl 193,"oats, chickpeas, onions, tomatoes, vinegar, seeds","1. Cook the oats until tender. 2. Sauté the chickpeas with vinegar. 3. Add chopped onions and tomatoes, cook until soft. 4. Stir in seeds, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",413.95,vegan,19
Tempeh & Rice Fusion Bowl 194,"rice, tempeh, spinach, kale, cumin, seeds","1. Cook the rice until tender. 2. Sauté the tempeh with cumin. 3. Add chopped spinach and kale, cook until soft. 4. Stir in seeds, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",204,dairy-free,13
Chickpeas & Quinoa Fusion Bowl 195,"quinoa, chickpeas, spinach, cauliflower, chili powder, lemon","1. Cook the quinoa until tender. 2. Sauté the chickpeas with chili powder. 3. Add chopped spinach and cauliflower, cook until soft. 4. Stir in lemon, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",243.95,dairy-free,21
Kidney Beans & Rice Fusion Bowl 196,"rice, kidney beans, spinach, carrots, soy sauce, honey","1. Cook the rice until tender. 2. Sauté the kidney beans with soy sauce. 3. Add chopped spinach and carrots, cook until soft. 4. Stir in honey, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",291.55,vegan,21
Tuna & Quinoa Fusion Bowl 197,"quinoa, tuna, onions, kale, soy sauce, avocado","1. Cook the quinoa until tender. 2. Sauté the tuna with soy sauce. 3. Add chopped onions and kale, cook until soft. 4. Stir in avocado, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",381.65,gluten-free,15
Eggs & Bulgur Fusion Bowl 198,"bulgur, eggs, kale, spinach, garlic, honey","1. Cook the bulgur until tender. 2. Sauté the eggs with garlic. 3. Add chopped kale and spinach, cook until soft. 4. Stir in honey, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",384.2,non-vegetarian,23
Eggs & Barley Fusion Bowl 199,"barley, eggs, mushrooms, broccoli, ginger, seeds","1. Cook the barley until tender. 2. Sauté the eggs with ginger. 3. Add chopped mushrooms and broccoli, cook until soft. 4. Stir in seeds, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",196.35,vegan,25
Eggs & Quinoa Fusion Bowl 200,"quinoa, eggs, mushrooms, carrots, turmeric, cheese","1. Cook the quinoa until tender. 2. Sauté the eggs with turmeric. 3. Add chopped mushrooms and carrots, cook until soft. 4. Stir in cheese, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",262.65,vegan,15
Chicken & Millet Fusion Bowl 201,"millet, chicken, zucchini, kale, sriracha, nuts","1. Cook the millet until tender. 2. Sauté the chicken with sriracha. 3. Add chopped zucchini and kale, cook until soft. 4. Stir in nuts, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",396.95,vegetarian,22
Beef & Millet Fusion Bowl 202,"millet, beef, tomatoes, kale, mustard, lime","1. Cook the millet until tender. 2. Sauté the beef with mustard. 3. Add chopped tomatoes and kale, cook until soft. 4. Stir in lime, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",357,non-vegetarian,21
Kidney Beans & Quinoa Fusion Bowl 203,"quinoa, kidney beans, carrots, tomatoes, ginger, avocado","1. Cook the quinoa until tender. 2. Sauté the kidney beans with ginger. 3. Add chopped carrots and tomatoes, cook until soft. 4. Stir in avocado, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",209.95,high-protein,26
Chickpeas & Bulgur Fusion Bowl 204,"bulgur, chickpeas, zucchini, kale, soy sauce, cheese","1. Cook the bulgur until tender. 2. Sauté the chickpeas with soy sauce. 3. Add chopped zucchini and kale, cook until soft. 4. Stir in cheese, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",257.55,gluten-free,17
Lentils & Millet Fusion Bowl 205,"millet, lentils, onions, mushrooms, garlic, cheese","1. Cook the millet until tender. 2. Sauté the lentils with garlic. 3. Add chopped onions and mushrooms, cook until soft. 4. Stir in cheese, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",366.35,vegetarian,28
Seitan & Rice Fusion Bowl 206,"rice, seitan, onions, tomatoes, cumin, yogurt","1. Cook the rice until tender. 2. Sauté the seitan with cumin. 3. Add chopped onions and tomatoes, cook until soft. 4. Stir in yogurt, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",284.75,vegan,18
Lentils & Quinoa Fusion Bowl 207,"quinoa, lentils, spinach, mushrooms, ginger, honey","1. Cook the quinoa until tender. 2. Sauté the lentils with ginger. 3. Add chopped spinach and mushrooms, cook until soft. 4. Stir in honey, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",256.7,non-vegetarian,15
Chicken & Oats Fusion Bowl 208,"oats, chicken, broccoli, zucchini, sriracha, nuts","1. Cook the oats until tender. 2. Sauté the chicken with sriracha. 3. Add chopped broccoli and zucchini, cook until soft. 4. Stir in nuts, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",344.25,vegetarian,30
Tuna & Bulgur Fusion Bowl 209,"bulgur, tuna, cauliflower, broccoli, sriracha, peanut butter","1. Cook the bulgur until tender. 2. Sauté the tuna with sriracha. 3. Add chopped cauliflower and broccoli, cook until soft. 4. Stir in peanut butter, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",323,low-carb,29
Chicken & Oats Fusion Bowl 210,"oats, chicken, carrots, mushrooms, vinegar, honey","1. Cook the oats until tender. 2. Sauté the chicken with vinegar. 3. Add chopped carrots and mushrooms, cook until soft. 4. Stir in honey, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",341.7,pescatarian,24
Tuna & Quinoa Fusion Bowl 211,"quinoa, tuna, carrots, mushrooms, ginger, nuts","1. Cook the quinoa until tender. 2. Sauté the tuna with ginger. 3. Add chopped carrots and mushrooms, cook until soft. 4. Stir in nuts, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",379.1,high-protein,16
Lentils & Millet Fusion Bowl 212,"millet, lentils, broccoli, kale, ginger, nuts","1. Cook the millet until tender. 2. Sauté the lentils with ginger. 3. Add chopped broccoli and kale, cook until soft. 4. Stir in nuts, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",425,gluten-free,19
Seitan & Quinoa Fusion Bowl 213,"quinoa, seitan, broccoli, kale, ginger, lime","1. Cook the quinoa until tender. 2. Sauté the seitan with ginger. 3. Add chopped broccoli and kale, cook until soft. 4. Stir in lime, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",395.25,gluten-free,28
Tempeh & Quinoa Fusion Bowl 214,"quinoa, tempeh, tomatoes, cauliflower, garlic, lemon","1. Cook the quinoa until tender. 2. Sauté the tempeh with garlic. 3. Add chopped tomatoes and cauliflower, cook until soft. 4. Stir in lemon, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",408,vegan,21
Kidney Beans & Millet Fusion Bowl 215,"millet, kidney beans, mushrooms, carrots, ginger, lemon","1. Cook the millet until tender. 2. Sauté the kidney beans with ginger. 3. Add chopped mushrooms and carrots, cook until soft. 4. Stir in lemon, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",217.6,vegan,22
Tempeh & Millet Fusion Bowl 216,"millet, tempeh, zucchini, onions, ginger, honey","1. Cook the millet until tender. 2. Sauté the tempeh with ginger. 3. Add chopped zucchini and onions, cook until soft. 4. Stir in honey, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",194.65,low-carb,18
Lentils & Couscous Fusion Bowl 217,"couscous, lentils, carrots, cauliflower, ginger, lime","1. Cook the couscous until tender. 2. Sauté the lentils with ginger. 3. Add chopped carrots and cauliflower, cook until soft. 4. Stir in lime, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",331.5,vegetarian,20
Beef & Quinoa Fusion Bowl 218,"quinoa, beef, cauliflower, zucchini, mustard, cheese","1. Cook the quinoa until tender. 2. Sauté the beef with mustard. 3. Add chopped cauliflower and zucchini, cook until soft. 4. Stir in cheese, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",193.8,vegan,30
Beef & Millet Fusion Bowl 219,"millet, beef, spinach, onions, chili powder, yogurt","1. Cook the millet until tender. 2. Sauté the beef with chili powder. 3. Add chopped spinach and onions, cook until soft. 4. Stir in yogurt, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",274.55,pescatarian,17
Tempeh & Rice Fusion Bowl 220,"rice, tempeh, kale, mushrooms, ginger, peanut butter","1. Cook the rice until tender. 2. Sauté the tempeh with ginger. 3. Add chopped kale and mushrooms, cook until soft. 4. Stir in peanut butter, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",171.7,high-protein,28
Chicken & Rice Fusion Bowl 221,"rice, chicken, zucchini, broccoli, garlic, cheese","1. Cook the rice until tender. 2. Sauté the chicken with garlic. 3. Add chopped zucchini and broccoli, cook until soft. 4. Stir in cheese, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",186.15,dairy-free,23
Seitan & Quinoa Fusion Bowl 222,"quinoa, seitan, broccoli, zucchini, soy sauce, honey","1. Cook the quinoa until tender. 2. Sauté the seitan with soy sauce. 3. Add chopped broccoli and zucchini, cook until soft. 4. Stir in honey, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",228.65,dairy-free,14
Eggs & Millet Fusion Bowl 223,"millet, eggs, kale, carrots, sriracha, lemon","1. Cook the millet until tender. 2. Sauté the eggs with sriracha. 3. Add chopped kale and carrots, cook until soft. 4. Stir in lemon, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",322.15,vegetarian,28
Kidney Beans & Couscous Fusion Bowl 224,"couscous, kidney beans, tomatoes, zucchini, vinegar, nuts","1. Cook the couscous until tender. 2. Sauté the kidney beans with vinegar. 3. Add chopped tomatoes and zucchini, cook until soft. 4. Stir in nuts, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",324.7,vegetarian,20
Chickpeas & Quinoa Fusion Bowl 225,"quinoa, chickpeas, mushrooms, kale, mustard, avocado","1. Cook the quinoa until tender. 2. Sauté the chickpeas with mustard. 3. Add chopped mushrooms and kale, cook until soft. 4. Stir in avocado, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",230.35,vegetarian,25
Lentils & Millet Fusion Bowl 226,"millet, lentils, mushrooms, spinach, vinegar, lime","1. Cook the millet until tender. 2. Sauté the lentils with vinegar. 3. Add chopped mushrooms and spinach, cook until soft. 4. Stir in lime, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",219.3,vegan,29
Chickpeas & Quinoa Fusion Bowl 227,"quinoa, chickpeas, cauliflower, kale, soy sauce, honey","1. Cook the quinoa until tender. 2. Sauté the chickpeas with soy sauce. 3. Add chopped cauliflower and kale, cook until soft. 4. Stir in honey, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",344.25,vegetarian,26
Chicken & Barley Fusion Bowl 228,"barley, chicken, mushrooms, onions, garlic, seeds","1. Cook the barley until tender. 2. Sauté the chicken with garlic. 3. Add chopped mushrooms and onions, cook until soft. 4. Stir in seeds, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",196.35,dairy-free,21
Beef & Quinoa Fusion Bowl 229,"quinoa, beef, kale, zucchini, sriracha, yogurt","1. Cook the quinoa until tender. 2. Sauté the beef with sriracha. 3. Add chopped kale and zucchini, cook until soft. 4. Stir in yogurt, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",221,dairy-free,13
Chickpeas & Millet Fusion Bowl 230,"millet, chickpeas, onions, tomatoes, ginger, cheese","1. Cook the millet until tender. 2. Sauté the chickpeas with ginger. 3. Add chopped onions and tomatoes, cook until soft. 4. Stir in cheese, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",203.15,pescatarian,20
Lentils & Bulgur Fusion Bowl 231,"bulgur, lentils, tomatoes, zucchini, garlic, avocado","1. Cook the bulgur until tender. 2. Sauté the lentils with garlic. 3. Add chopped tomatoes and zucchini, cook until soft. 4. Stir in avocado, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",348.5,pescatarian,29
Lentils & Quinoa Fusion Bowl 232,"quinoa, lentils, broccoli, kale, ginger, nuts","1. Cook the quinoa until tender. 2. Sauté the lentils with ginger. 3. Add chopped broccoli and kale, cook until soft. 4. Stir in nuts, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",190.4,non-vegetarian,20
Tuna & Oats Fusion Bowl 233,"oats, tuna, spinach, kale, chili powder, avocado","1. Cook the oats until tender. 2. Sauté the tuna with chili powder. 3. Add chopped spinach and kale, cook until soft. 4. Stir in avocado, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",228.65,gluten-free,22
Seitan & Rice Fusion Bowl 234,"rice, seitan, kale, zucchini, soy sauce, cheese","1. Cook the rice until tender. 2. Sauté the seitan with soy sauce. 3. Add chopped kale and zucchini, cook until soft. 4. Stir in cheese, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",368.9,gluten-free,16
Eggs & Quinoa Fusion Bowl 235,"quinoa, eggs, onions, broccoli, sriracha, yogurt","1. Cook the quinoa until tender. 2. Sauté the eggs with sriracha. 3. Add chopped onions and broccoli, cook until soft. 4. Stir in yogurt, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",397.8,non-vegetarian,13
Tempeh & Quinoa Fusion Bowl 236,"quinoa, tempeh, spinach, tomatoes, sriracha, seeds","1. Cook the quinoa until tender. 2. Sauté the tempeh with sriracha. 3. Add chopped spinach and tomatoes, cook until soft. 4. Stir in seeds, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",264.35,high-protein,13
Chicken & Couscous Fusion Bowl 237,"couscous, chicken, broccoli, spinach, ginger, cheese","1. Cook the couscous until tender. 2. Sauté the chicken with ginger. 3. Add chopped broccoli and spinach, cook until soft. 4. Stir in cheese, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",398.65,dairy-free,18
Tofu & Quinoa Fusion Bowl 238,"quinoa, tofu, mushrooms, spinach, chili powder, maple syrup","1. Cook the quinoa until tender. 2. Sauté the tofu with chili powder. 3. Add chopped mushrooms and spinach, cook until soft. 4. Stir in maple syrup, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",352.75,pescatarian,14
Eggs & Bulgur Fusion Bowl 239,"bulgur, eggs, spinach, mushrooms, sriracha, avocado","1. Cook the bulgur until tender. 2. Sauté the eggs with sriracha. 3. Add chopped spinach and mushrooms, cook until soft. 4. Stir in avocado, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",222.7,dairy-free,14
Tofu & Rice Fusion Bowl 240,"rice, tofu, tomatoes, kale, turmeric, cheese","1. Cook the rice until tender. 2. Sauté the tofu with turmeric. 3. Add chopped tomatoes and kale, cook until soft. 4. Stir in cheese, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",214.2,non-vegetarian,23
Kidney Beans & Quinoa Fusion Bowl 241,"quinoa, kidney beans, cauliflower, kale, ginger, lemon","1. Cook the quinoa until tender. 2. Sauté the kidney beans with ginger. 3. Add chopped cauliflower and kale, cook until soft. 4. Stir in lemon, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",228.65,vegetarian,18
Eggs & Quinoa Fusion Bowl 242,"quinoa, eggs, cauliflower, tomatoes, cumin, lime","1. Cook the quinoa until tender. 2. Sauté the eggs with cumin. 3. Add chopped cauliflower and tomatoes, cook until soft. 4. Stir in lime, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",249.9,dairy-free,17
Tempeh & Bulgur Fusion Bowl 243,"bulgur, tempeh, zucchini, broccoli, sriracha, lime","1. Cook the bulgur until tender. 2. Sauté the tempeh with sriracha. 3. Add chopped zucchini and broccoli, cook until soft. 4. Stir in lime, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",292.4,non-vegetarian,14
Kidney Beans & Barley Fusion Bowl 244,"barley, kidney beans, carrots, zucchini, soy sauce, lime","1. Cook the barley until tender. 2. Sauté the kidney beans with soy sauce. 3. Add chopped carrots and zucchini, cook until soft. 4. Stir in lime, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",223.55,non-vegetarian,20
Beef & Barley Fusion Bowl 245,"barley, beef, tomatoes, zucchini, turmeric, seeds","1. Cook the barley until tender. 2. Sauté the beef with turmeric. 3. Add chopped tomatoes and zucchini, cook until soft. 4. Stir in seeds, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",278.8,high-protein,22
